mizar_ref,stop_id,nome
1007,729,VIA DEL CONERO (VILLA)
1008,730,V.POGGIO (Ex Meccanico)
1009,731,POGGIO ALTO (DOPO SEMAFORO)
1010,732,POGGIO ALTO (PRIMA SEMAFORO)
1011,733,POGGIO COSTA (FRONTE EX MECC.
1012,734,1^ V.DEL CONERO
1013,735,CIMITERO DI GALLIGNANO
1014,736,CIMITERO DI GALLIGNANO
1015,738,PALAROSSINI (PARCHEGGIO)
1016,739,Variante Pontelungo
1017,740,VIA SACRIPANTI
1018,741,VIA SACRIPANTI (TIGRE)
1019,742,2^ VIA SACRIPANTI
1020,743,VIA FLAVIA - CARABINIERI
1021,744,VIA FLAVIA - CARABINIERI
1022,745,4^ VIA FORNACI
1025,748,VIA MADONNETTA (BERLUTI)
1026,749,VIA MADONNETTA
1027,750,Via Filonzi
1028,756,VIA FANTI
1030,758,Piazza San Francesco
1031,759,Piazza Stracca
1032,760,Piazza del Senato
1033,761,Via Pizzecolli
1034,762,2^ VIA PODESTI
1035,763,3^ VIA PODESTI
1036,764,4^ VIA PODESTI
1037,765,Via Astagno
1038,766,VIA  ASTAGNO
1039,767,Via Scataglini - C. Comm.
1040,768,Via Schiavoni - FIGC
1041,769,VIA PODESTI
1042,770,3^ VIA ASTAGNO
1043,772,Via Monte Vettore
1044,789,Porta Santo Stefano
1045,790,1^ VIA SANTO STEFANO
1046,791,2^ VIA SANTO STEFANO
1047,792,VIA VELINO (CARIVERONA)
1048,793,LICEO GALILEI
1049,794,UNIVERSITA' INGEGNERIA
1050,795,C.SCAMBIATORE B.B.
1051,796,VIA TOGLIATTI - ISTVAS
1052,797,4^ VIA TOGLIATTI
1053,798,VIA TOGLIATTI PARCO UNICEF
1054,799,VIA TOGLIATTI
1055,800,VIA TOGLIATTI - ISTVAS
1056,802,UNIVERSITA' INGEGNERIA
1057,803,LICEO GALILEI
1058,804,Tavernelle Capolinea
1059,805,5^ Via Togliatti
1060,806,1^ Via Togliatti
2027,807,VIA MADONNETTA - Civico 62
2028,808,14^ VIA DEL CONERO
1061,811,1^ VIA CADUTI DEL LAVORO
1062,812,P.zza XXIV Maggio
1063,813,VIA CADUTI DEL LAVORO (DAEWOO)
1064,814,3^ VIA CADUTI DEL LAVORO
1065,815,VIA BLASI
1066,816,1^ VIA FANO
1067,817,2^ VIA FANO
1068,818,3^ VIA FANO
1069,819,VIA VERGA (SC. MARCONI)
1070,820,VIA MANZONI
1071,821,1^ VIA GIGLI
1072,822,2^ VIA GIGLI
1073,823,3^ VIA GIGLI
1074,824,VIA DELLA MONTAGNOLA
1075,825,1^ VIA CIVITANOVA
1076,826,2^ VIA CIVITANOVA
1077,827,1^ VIA LAMATICCI
1078,828,2^ VIA LAMATICCI
1079,829,VIA DALMAZIA
1080,830,VIA SPALATO
1081,831,3^ VIA LAMATICCI
1082,832,2^ Via Ninchi - Incr. Via Enriquez
1083,833,2^ Via Ninchi
1084,834,3^ SAN LUIGI
1085,835,6^ SAN LUIGI
1086,836,6^ GHETTARELLO
1087,837,GHETTARELLO
1088,838,1^ VIA GIOBERTI
1089,839,PARCHEGGIO VIA RANIERI
1093,840,PARCHEGGIO CIMITERO
1094,841,PIAZZA CAVOUR - CAPOLINEA 46
2000,842,Via Pastore - Ex La Commerciale
2001,843,Via Pastore - Duca infissi
2002,844,Via Pastore - Duca infissi
2505,848,Pietralacroce - Farmacia
2503,849,Fermata banchine / docks 8-9-11-12-13-15
2507,850,Terminal Imbarchi / Docks
2504,851,"Stazione F.S. (Cap. 65, 4/)"
2508,852,Via Togliatti 108
2509,853,Via Togliatti 116
2511,854,Via Togliatti 122
2513,855,Via Togliatti 148
2516,856,Via Togliatti 183
2512,857,Via Togliatti 118/D
2510,858,Via Togliatti 115
2514,859,8^ Via Togliatti
2551,860,Via Metauro - Incr. via Conca
2554,861,Via Metauro - Incr. via Foglia
